cluster,week,year,n_days_per_cluster,n_days_per_time,p_days_per_cluster,wt,n_data
3,2018-11-18,2018,974,71278,0.0136648054098039,153.689609697242,71278
2,2018-11-18,2018,582,71278,0.00816521226745981,153.689609697242,71278
0,2018-11-25,2018,42374,66272,0.639395219700628,165.298889425398,66272
1,2018-11-25,2018,22417,66272,0.338257484307098,165.298889425398,66272
3,2018-11-25,2018,920,66272,0.0138821825205215,165.298889425398,66272
2,2018-11-25,2018,561,66272,0.00846511347175278,165.298889425398,66272
0,2018-12-02,2018,42317,67436,0.627513494276054,162.445696660537,67436
1,2018-12-02,2018,23616,67436,0.350198706922119,162.445696660537,67436
2,2018-12-02,2018,614,67436,0.00910492911797853,162.445696660537,67436
3,2018-12-02,2018,889,67436,0.0131828696838484,162.445696660537,67436
0,2018-12-09,2018,43180,70185,0.61523117475244,156.083037686115,70185
3,2018-12-09,2018,933,70185,0.0132934387689677,156.083037686115,70185
1,2018-12-09,2018,25420,70185,0.362185652204887,156.083037686115,70185
2,2018-12-09,2018,652,70185,0.00928973427370521,156.083037686115,70185
1,2018-12-16,2018,24752,67234,0.368147068447512,162.93375375554,67234
0,2018-12-16,2018,40964,67234,0.609275069161436,162.93375375554,67234
3,2018-12-16,2018,856,67234,0.0127316536276289,162.93375375554,67234
2,2018-12-16,2018,662,67234,0.00984620876342327,162.93375375554,67234
1,2018-12-23,2018,22804,52862,0.431387386023987,207.231811130869,52862
2,2018-12-23,2018,1207,52862,0.0228330369641709,207.231811130869,52862
0,2018-12-23,2018,27904,52862,0.527865006999357,207.231811130869,52862
3,2018-12-23,2018,947,52862,0.0179145700124853,207.231811130869,52862
0,2018-12-30,2018,8413,15596,0.539433187996922,198.991625946849,55051
0,2018-12-30,2019,22730,39455,0.576099353694082,198.991625946849,55051
1,2018-12-30,2018,6688,15596,0.428827904590921,198.991625946849,55051
1,2018-12-30,2019,15867,39455,0.402154353060449,198.991625946849,55051
3,2018-12-30,2018,202,15596,0.012952038984355,198.991625946849,55051
2,2018-12-30,2018,293,15596,0.018786868427802,198.991625946849,55051
3,2018-12-30,2019,525,39455,0.0133062983145355,198.991625946849,55051
2,2018-12-30,2019,333,39455,0.00843999493093398,198.991625946849,55051
0,2019-01-06,2019,38205,62656,0.60975804392237,174.838610827375,62656
1,2019-01-06,2019,23503,62656,0.375111721144025,174.838610827375,62656
3,2019-01-06,2019,665,62656,0.0106135086823289,174.838610827375,62656
2,2019-01-06,2019,283,62656,0.00451672625127681,174.838610827375,62656
0,2019-01-13,2019,36322,57693,0.629573778447992,189.878980118905,57693
